City,Locality_Tier,BHK,Bathrooms,Super_Area_sqft,Property_Age_years,Parking,Furnishing,Distance_to_CityCenter_km,Market_Price_INR_Log
Bangalore,Premium,4,4,1451.2,8,1,Semi-Furnished,0.85,16.760797072607875
Pune,Premium,2,2,951.4,7,1,Semi-Furnished,1.76,16.199263294884506
Bangalore,Mid,1,2,461.3,14,0,Unfurnished,20.97,15.027585451543185
Pune,Mid,1,2,599.0,4,1,Semi-Furnished,9.27,15.456232579558124
Bangalore,Budget,2,2,752.9,13,1,Unfurnished,16.27,15.361059764751644
Mumbai,Mid,4,3,1989.6,12,0,Unfurnished,9.12,17.270541333561223
Bangalore,Premium,2,1,775.0,7,1,Unfurnished,12.12,16.05121123369016
Bangalore,Premium,1,1,627.5,4,1,Fully-Furnished,22.24,15.753354116527237
Pune,Mid,4,4,1895.9,12,1,Semi-Furnished,15.69,16.67333737231133
Pune,Budget,2,2,1009.9,20,1,Fully-Furnished,28.57,15.604630045505212
Hyderabad,Mid,4,5,1800.3,11,1,Unfurnished,22.74,16.317470716545362
Bangalore,Budget,1,2,451.5,6,0,Unfurnished,21.4,14.712093154077783
Bangalore,Mid,2,2,991.0,5,1,Semi-Furnished,10.49,16.119091454980875
Bangalore,Budget,1,1,542.6,14,1,Unfurnished,19.78,14.900290620965537
Nagpur,Mid,2,2,890.6,4,1,Fully-Furnished,9.68,15.588443753108194
Pune,Budget,1,1,453.5,18,0,Unfurnished,9.83,14.518772412307992
Hyderabad,Premium,4,4,1710.3,7,1,Unfurnished,0.5,16.544406828715402
Bangalore,Mid,2,3,842.2,13,0,Semi-Furnished,17.39,15.819280636644551
Hyderabad,Budget,1,1,468.1,0,0,Unfurnished,20.51,14.367375240690329
Bangalore,Budget,1,1,520.4,23,1,Fully-Furnished,20.28,14.986484127542072
Nagpur,Budget,2,2,921.8,18,1,Semi-Furnished,27.77,14.91400450629711
Mumbai,Budget,2,1,922.7,19,0,Unfurnished,22.28,16.230767513461586
Pune,Budget,2,2,740.3,9,0,Unfurnished,19.28,15.367259398137088
Mumbai,Mid,3,3,1019.9,13,1,Unfurnished,12.35,16.60058346496797
Bangalore,Budget,2,2,813.6,7,0,Semi-Furnished,27.84,15.398155112787515
Hyderabad,Mid,2,2,788.3,5,1,Unfurnished,12.9,15.408097079915555
Mumbai,Mid,2,2,908.5,11,1,Semi-Furnished,12.05,16.44406311948301
Bangalore,Mid,4,3,1402.4,17,0,Fully-Furnished,10.86,16.430321593231497
Bangalore,Mid,3,3,1199.1,5,1,Fully-Furnished,19.57,16.230656005460506
Hyderabad,Budget,1,2,540.2,14,0,Semi-Furnished,15.65,14.641234800920474
Nagpur,Mid,1,1,533.6,9,1,Unfurnished,16.64,14.448555230382714
Mumbai,Mid,2,1,765.9,15,1,Semi-Furnished,17.75,16.335104100966547
Hyderabad,Mid,3,3,1350.1,3,1,Unfurnished,5.7,16.184002204662477
Bangalore,Premium,3,3,968.8,6,1,Semi-Furnished,9.23,16.29861441703451
Mumbai,Mid,2,1,823.7,10,0,Semi-Furnished,11.9,16.257285951716668
Mumbai,Premium,3,3,1287.3,11,1,Semi-Furnished,0.5,17.078722872672707
Nagpur,Mid,1,1,538.6,11,1,Fully-Furnished,17.97,14.67948937156652
Bangalore,Mid,3,4,1475.6,6,0,Fully-Furnished,13.8,16.389165908054753
Mumbai,Budget,2,2,835.9,7,0,Semi-Furnished,17.62,16.197875216320647
Bangalore,Mid,2,4,631.7,4,1,Unfurnished,0.5,15.822267287394675
Mumbai,Premium,4,4,1648.7,10,1,Semi-Furnished,0.5,17.394659908103602
Pune,Premium,2,2,813.6,7,1,Semi-Furnished,9.93,15.92710655937639
Mumbai,Budget,2,2,892.9,17,0,Fully-Furnished,18.71,16.24505820341533
Mumbai,Premium,4,4,1535.6,5,1,Unfurnished,9.96,17.199193723917972
Pune,Premium,4,4,1676.8,6,1,Unfurnished,11.31,16.73236438333155
Pune,Premium,3,3,1108.4,16,1,Semi-Furnished,13.31,16.244670855307742
Mumbai,Premium,3,3,1075.3,3,1,Semi-Furnished,20.4,16.930322847953562
Nagpur,Premium,2,3,944.9,8,1,Semi-Furnished,6.33,15.838948386527665
Mumbai,Budget,2,3,823.4,7,1,Unfurnished,18.37,16.02720439332025
Mumbai,Mid,2,2,789.7,13,0,Unfurnished,12.52,16.329469571095675
Nagpur,Mid,1,3,459.5,4,1,Semi-Furnished,15.66,14.549127671077933
Nagpur,Budget,2,3,1052.4,12,1,Unfurnished,19.31,15.053276778119422
Hyderabad,Budget,1,1,575.6,8,1,Semi-Furnished,26.34,14.631274848968742
Pune,Premium,2,2,876.6,13,1,Unfurnished,19.55,15.964658066817886
Hyderabad,Premium,3,3,1202.6,10,1,Unfurnished,3.08,16.27843988251373
Mumbai,Mid,3,3,1208.3,1,1,Fully-Furnished,17.4,16.804338702776725
Bangalore,Mid,2,3,980.8,15,0,Semi-Furnished,13.32,16.00195613897669
Hyderabad,Mid,3,3,1111.2,18,1,Fully-Furnished,10.78,16.014107304556624
Hyderabad,Budget,2,2,1075.5,9,1,Semi-Furnished,13.28,15.564204197711785
Pune,Budget,2,3,786.9,13,0,Semi-Furnished,15.86,15.438481681992569
Nagpur,Mid,1,1,596.3,1,0,Semi-Furnished,23.74,14.735309528765512
Hyderabad,Premium,3,3,1200.9,5,1,Fully-Furnished,4.37,16.328085794240376
Pune,Budget,3,3,1197.7,8,0,Fully-Furnished,12.25,15.87063801852666
Nagpur,Budget,2,1,810.0,10,0,Unfurnished,17.88,14.791797384761448
Mumbai,Mid,2,3,761.8,6,0,Fully-Furnished,7.55,16.283262401880936
Mumbai,Budget,1,1,516.5,6,1,Fully-Furnished,24.54,15.571575489767605
Bangalore,Budget,2,2,994.6,6,0,Unfurnished,30.23,15.564351739762406
Nagpur,Budget,3,4,1202.6,3,1,Unfurnished,15.25,15.374788638662421
Mumbai,Mid,3,4,1016.0,2,1,Unfurnished,23.3,16.544743544617056
Nagpur,Budget,1,1,488.9,6,1,Unfurnished,21.89,14.242949790171082
Mumbai,Mid,1,1,615.6,12,1,Fully-Furnished,8.72,16.129180981020482
Pune,Premium,2,2,906.7,3,1,Semi-Furnished,24.05,15.923964879055909
Hyderabad,Premium,4,5,1611.2,11,1,Semi-Furnished,20.39,16.533455708848194
Mumbai,Mid,3,3,918.4,11,1,Semi-Furnished,9.7,16.46833426610036
Mumbai,Mid,3,4,1420.8,1,1,Unfurnished,16.89,16.84398481448727
Bangalore,Budget,2,3,758.5,14,1,Unfurnished,25.16,15.413789641605645
Hyderabad,Mid,4,4,1589.0,1,1,Unfurnished,8.67,16.242057248816632
Hyderabad,Premium,4,4,1872.8,10,1,Semi-Furnished,9.41,16.762879031442743
Mumbai,Mid,2,3,1098.2,8,1,Fully-Furnished,11.15,16.580530521779593
Pune,Budget,3,4,1089.9,13,1,Semi-Furnished,13.48,15.92983795007213
Mumbai,Premium,3,3,1288.6,15,1,Unfurnished,7.53,17.074347245084745
Nagpur,Premium,5,5,2380.7,18,0,Semi-Furnished,6.72,16.681129419508594
Pune,Budget,2,2,968.6,15,0,Unfurnished,20.45,15.615475271911594
Hyderabad,Premium,2,2,811.9,14,1,Fully-Furnished,2.05,15.920732169518907
Mumbai,Premium,1,1,664.1,7,1,Fully-Furnished,17.15,16.368815924986762
Mumbai,Budget,1,1,445.6,11,1,Unfurnished,19.23,15.247121438080143
Pune,Mid,2,2,868.8,1,1,Semi-Furnished,8.93,15.829801791402966
Pune,Mid,3,3,1113.9,10,1,Unfurnished,12.2,16.040900086323706
Mumbai,Mid,1,1,520.4,0,1,Semi-Furnished,29.36,15.75440817660175
Pune,Budget,2,3,877.6,7,0,Unfurnished,14.86,15.550784151853538
Nagpur,Budget,2,4,912.6,2,0,Fully-Furnished,18.4,15.02542984685343
Pune,Mid,3,1,1330.2,5,1,Semi-Furnished,15.05,16.23126602016256
Hyderabad,Budget,2,3,812.5,6,1,Semi-Furnished,18.2,15.270943080016094
Hyderabad,Mid,2,1,945.3,9,0,Unfurnished,7.55,15.7717473461264
Bangalore,Mid,1,1,502.9,6,1,Unfurnished,4.47,15.33928360463729
Bangalore,Mid,2,3,920.8,13,1,Semi-Furnished,7.44,15.983692793003883
Pune,Mid,3,3,1089.3,10,1,Semi-Furnished,2.34,16.028098730757414
Nagpur,Premium,3,3,1083.0,16,1,Semi-Furnished,3.9,15.947355015673798
Bangalore,Budget,2,2,711.9,10,0,Unfurnished,18.61,15.354429864141283
Pune,Mid,3,4,1330.5,20,1,Unfurnished,8.8,16.23127173533668
Pune,Budget,2,3,929.2,10,1,Fully-Furnished,19.73,15.728539275238719
Mumbai,Mid,3,3,1347.3,11,1,Fully-Furnished,18.6,16.915106913076873
Mumbai,Premium,2,2,785.8,10,1,Semi-Furnished,11.21,16.637346661262484
Pune,Premium,3,3,1113.2,7,1,Fully-Furnished,0.5,16.472274833072838
Nagpur,Budget,1,1,509.0,13,1,Semi-Furnished,21.69,14.359716217440132
Pune,Budget,2,2,743.8,9,1,Unfurnished,9.26,15.304369404489988
Hyderabad,Mid,2,2,933.6,4,1,Unfurnished,8.55,15.797373173179263
Hyderabad,Mid,3,2,1158.7,1,0,Semi-Furnished,13.67,15.911124616643663
Pune,Mid,3,4,1187.5,6,1,Fully-Furnished,14.59,16.212794553061403
Nagpur,Premium,2,2,805.3,6,1,Semi-Furnished,13.73,15.511670055402362
Hyderabad,Budget,3,3,1189.9,1,0,Unfurnished,7.48,15.75829396671505
Mumbai,Mid,1,1,665.5,14,1,Unfurnished,8.46,16.162553300468346
Bangalore,Mid,4,4,1984.6,1,1,Fully-Furnished,17.98,16.862278235154854
Mumbai,Mid,2,3,1076.7,20,1,Semi-Furnished,10.73,16.68193041221079
Hyderabad,Mid,1,2,672.3,5,0,Semi-Furnished,18.74,15.233992302412403
Nagpur,Premium,3,3,1247.6,5,1,Semi-Furnished,8.97,16.096033767463734
Mumbai,Budget,2,3,857.8,3,0,Fully-Furnished,18.39,16.18215699576537
Nagpur,Premium,2,2,882.5,2,1,Fully-Furnished,10.23,15.65677945643813
Mumbai,Mid,3,3,1262.6,8,1,Unfurnished,15.22,16.729086178535965
Mumbai,Budget,2,2,1036.2,22,0,Semi-Furnished,19.05,16.39884955397318
Pune,Mid,3,3,1213.1,0,1,Fully-Furnished,8.92,16.316702955456392
Bangalore,Premium,2,2,1043.4,7,1,Fully-Furnished,14.99,16.334320926092275
Nagpur,Premium,1,1,554.8,3,1,Semi-Furnished,0.5,15.17913948787248
Bangalore,Premium,3,3,1025.9,0,1,Unfurnished,7.67,16.46986732348519
Pune,Premium,4,4,1782.7,1,1,Unfurnished,4.23,16.872072608759474
Hyderabad,Mid,2,2,790.9,1,1,Unfurnished,10.25,15.57537628610149
Mumbai,Mid,1,2,622.7,18,1,Semi-Furnished,15.11,16.070872378572545
Hyderabad,Mid,4,5,1515.0,10,1,Semi-Furnished,11.07,16.27374052820213
Pune,Budget,2,2,846.6,21,0,Fully-Furnished,30.62,15.278193342602409
Mumbai,Mid,2,1,1143.5,13,1,Unfurnished,5.5,16.76209654644531
Bangalore,Mid,2,2,882.4,5,1,Unfurnished,0.5,15.981384923887704
Bangalore,Mid,1,2,608.5,5,1,Semi-Furnished,4.38,15.625816146458574
Pune,Budget,3,4,1082.0,14,1,Unfurnished,25.35,15.647228128664418
Bangalore,Mid,4,5,1992.2,1,0,Semi-Furnished,13.16,16.788783753980375
Bangalore,Mid,2,2,844.2,5,1,Fully-Furnished,16.34,15.818839253688724
Mumbai,Mid,3,4,1563.4,15,1,Unfurnished,14.76,16.918662126434942
Mumbai,Budget,1,1,524.2,21,0,Unfurnished,21.91,15.456400043325578
Pune,Premium,4,4,1336.8,3,1,Fully-Furnished,11.97,16.4462322424195
Hyderabad,Mid,3,4,1354.8,3,0,Unfurnished,17.96,16.151885779760036
Nagpur,Premium,2,3,894.0,17,0,Unfurnished,18.75,15.509354874055898
Bangalore,Premium,4,5,1528.3,8,1,Semi-Furnished,6.61,16.83634774934305
Hyderabad,Budget,1,2,446.5,15,0,Semi-Furnished,17.1,14.631607404131962
Mumbai,Premium,1,2,644.8,19,1,Fully-Furnished,3.14,16.27615909450339
Hyderabad,Budget,2,2,986.3,17,1,Semi-Furnished,17.48,15.547036891235305
Mumbai,Mid,1,1,614.3,20,1,Semi-Furnished,9.66,16.111407535290365
Mumbai,Premium,3,4,1356.9,4,1,Semi-Furnished,5.98,17.05560193305141
Hyderabad,Budget,3,3,1208.9,14,1,Fully-Furnished,12.85,15.782050583087544
Nagpur,Budget,2,2,805.8,14,0,Unfurnished,23.5,14.723844921719614
Pune,Mid,4,3,1980.7,10,1,Unfurnished,13.48,16.692184877248415
Pune,Budget,2,1,953.0,1,1,Semi-Furnished,26.13,15.497984225075186
Bangalore,Budget,3,3,1392.7,3,1,Semi-Furnished,8.89,16.308692043337608
Hyderabad,Mid,2,2,881.5,9,1,Semi-Furnished,22.87,15.66632400442738
Bangalore,Mid,1,2,576.9,15,0,Semi-Furnished,8.71,15.554414636173897
Hyderabad,Premium,2,2,941.8,15,1,Semi-Furnished,0.5,15.982640122657177
Mumbai,Mid,2,2,887.5,13,0,Unfurnished,31.06,16.410095563108992
Hyderabad,Budget,3,3,1090.9,22,0,Semi-Furnished,26.68,15.530841724126072
Pune,Budget,2,3,923.5,10,0,Unfurnished,18.28,15.63706601813089
Hyderabad,Mid,2,3,973.1,0,0,Semi-Furnished,4.84,15.833544405681696
Mumbai,Mid,3,3,1344.9,7,1,Unfurnished,24.51,16.88027805544167
Pune,Mid,2,2,1014.7,4,0,Unfurnished,10.76,15.884740765982672
Nagpur,Mid,1,1,636.4,10,1,Unfurnished,10.99,14.935113003829851
Pune,Budget,2,3,1024.9,1,0,Semi-Furnished,31.84,15.70150326366494
Nagpur,Mid,2,2,787.1,7,0,Unfurnished,16.84,15.033340704291039
Nagpur,Mid,2,3,939.4,4,1,Unfurnished,14.9,15.392230838302904
Nagpur,Premium,5,6,1987.4,1,1,Fully-Furnished,1.22,16.621914484401902
Mumbai,Premium,2,2,998.3,7,1,Semi-Furnished,14.79,16.829194825880556
Hyderabad,Premium,3,2,994.6,10,1,Semi-Furnished,14.26,16.11489894694016
Nagpur,Mid,2,3,863.2,17,1,Fully-Furnished,6.08,15.413612864494624
Mumbai,Budget,2,1,820.5,6,1,Unfurnished,19.74,16.015867668236492
Hyderabad,Budget,1,2,501.4,5,0,Unfurnished,33.13,14.255146470385263
Mumbai,Premium,5,5,2050.3,6,1,Unfurnished,3.98,17.557490279156823
Pune,Premium,3,4,1243.0,11,1,Fully-Furnished,6.11,16.55174042303161
Mumbai,Mid,3,4,1320.7,21,1,Unfurnished,14.76,16.805420313511355
Bangalore,Budget,1,1,493.0,8,1,Unfurnished,20.94,14.809249619637557
Bangalore,Mid,1,1,592.6,0,1,Fully-Furnished,24.87,15.265948284032811
Nagpur,Mid,2,1,1032.7,10,0,Semi-Furnished,19.32,15.376227863809758
Mumbai,Premium,2,2,840.1,8,1,Semi-Furnished,11.17,16.574751341512677
Pune,Mid,4,4,1875.6,5,0,Unfurnished,11.27,16.656763089222558
Bangalore,Mid,1,1,543.0,2,0,Unfurnished,22.84,15.219112033215136
Hyderabad,Mid,1,1,438.5,11,1,Semi-Furnished,21.04,14.543296335182172
Bangalore,Budget,2,3,765.8,4,0,Semi-Furnished,16.85,15.597566600855732
Bangalore,Mid,3,3,1334.8,4,1,Semi-Furnished,17.6,16.325171037981004
Pune,Mid,2,2,855.6,9,1,Unfurnished,9.58,15.781716070044434
Bangalore,Mid,2,2,1031.9,17,1,Unfurnished,17.6,15.987180490155689
Nagpur,Mid,3,4,1727.4,12,1,Semi-Furnished,16.86,16.10908628825573
Mumbai,Mid,4,4,1634.6,3,1,Semi-Furnished,15.94,17.127864740419938
Hyderabad,Premium,3,3,1188.4,3,1,Unfurnished,2.23,16.208167315487596
Hyderabad,Premium,2,2,818.2,9,1,Semi-Furnished,3.64,15.828505893365115
Hyderabad,Mid,4,5,1696.0,13,0,Semi-Furnished,15.76,16.441736415221357
Mumbai,Mid,2,2,884.1,10,0,Semi-Furnished,8.0,16.32679303708453
Pune,Mid,3,4,1460.4,11,1,Semi-Furnished,10.27,16.38150406242225
Bangalore,Mid,2,2,892.1,6,0,Semi-Furnished,8.83,15.961082712106426
Pune,Premium,3,4,1285.4,10,1,Semi-Furnished,16.28,16.518980686528685
Bangalore,Mid,1,1,612.6,15,1,Unfurnished,15.3,15.442542778799325
Bangalore,Budget,2,2,960.8,4,0,Fully-Furnished,19.22,15.634713486877436
Nagpur,Budget,3,3,1125.2,3,0,Fully-Furnished,18.63,15.34179292286204
Nagpur,Mid,2,2,980.3,3,1,Unfurnished,14.95,15.534869929124376
Nagpur,Mid,3,3,1206.7,0,0,Semi-Furnished,20.98,15.680083280606969
Mumbai,Mid,4,4,1768.4,14,1,Unfurnished,6.6,17.130048173541713
Bangalore,Premium,4,4,1921.8,5,1,Fully-Furnished,11.24,16.984143694260048
Bangalore,Mid,2,3,909.9,11,0,Semi-Furnished,5.27,15.936755532396267
Bangalore,Mid,2,3,1011.6,8,1,Unfurnished,14.33,16.082228651814177
Nagpur,Mid,3,2,1190.3,3,1,Semi-Furnished,16.95,15.646507246619638
Bangalore,Mid,1,3,682.4,7,0,Unfurnished,15.75,15.556898413190046
Nagpur,Mid,1,1,564.1,3,1,Unfurnished,30.4,14.313957683262746
Pune,Mid,3,3,1139.7,12,1,Semi-Furnished,6.52,16.137686785303206
Pune,Mid,3,3,1528.2,8,1,Unfurnished,18.11,16.43032130050499
Hyderabad,Mid,3,2,1111.1,14,0,Unfurnished,14.46,15.880112282209861
Pune,Budget,2,2,1007.2,10,0,Fully-Furnished,22.58,15.659066303396648
Pune,Budget,2,3,847.8,17,1,Semi-Furnished,26.38,15.327913423866361
Mumbai,Premium,2,2,869.5,7,1,Fully-Furnished,11.54,16.70125903383219
Bangalore,Premium,2,2,902.0,3,0,Semi-Furnished,9.14,16.109531079496932
Hyderabad,Mid,1,1,512.7,3,1,Semi-Furnished,21.42,14.878485651667903
Mumbai,Mid,1,2,573.5,1,1,Semi-Furnished,17.73,15.98250304978796
Nagpur,Mid,2,2,1035.9,14,0,Semi-Furnished,18.91,15.454309000558125
Mumbai,Premium,3,3,1424.5,5,1,Unfurnished,17.27,17.017270416827557
Mumbai,Premium,2,3,870.9,8,1,Unfurnished,21.48,16.591792950198368
Mumbai,Premium,2,2,1021.8,7,1,Fully-Furnished,4.82,16.92533725036221
Pune,Mid,3,3,1112.9,13,1,Unfurnished,16.0,16.046340754303532
Hyderabad,Premium,3,2,1466.9,12,1,Unfurnished,0.52,16.503488111318063
Pune,Premium,1,1,602.6,16,1,Semi-Furnished,2.18,15.592572208163014
Hyderabad,Mid,1,2,568.7,8,1,Unfurnished,3.94,15.302312930363028
Mumbai,Mid,3,2,1289.7,6,1,Semi-Furnished,5.19,16.84362003696835
Pune,Premium,2,2,858.8,0,1,Fully-Furnished,6.47,15.986381235202538
Mumbai,Premium,3,3,1346.4,14,1,Semi-Furnished,10.56,16.996657931702174
Mumbai,Mid,1,1,618.8,1,1,Unfurnished,4.53,15.997704065993586
Nagpur,Budget,2,2,943.3,2,0,Fully-Furnished,14.86,15.29372253245545
Pune,Budget,2,3,954.4,17,0,Semi-Furnished,24.63,15.495235064665005
Mumbai,Budget,1,2,541.2,16,0,Unfurnished,19.37,15.432071838859049
Nagpur,Premium,2,2,910.0,2,0,Fully-Furnished,7.07,15.595473386290582
Bangalore,Premium,3,3,1007.9,4,1,Fully-Furnished,11.09,16.334000103106867
Mumbai,Premium,2,2,927.7,7,1,Fully-Furnished,8.15,16.783797839604684
Mumbai,Mid,2,2,714.7,6,1,Unfurnished,17.78,16.212043994793934
Pune,Budget,1,1,631.7,16,0,Semi-Furnished,19.24,14.830628550184914
Nagpur,Mid,2,3,583.6,11,1,Unfurnished,11.67,14.951085242474843
Pune,Budget,2,2,855.1,8,1,Unfurnished,24.5,15.399171890527688
Hyderabad,Budget,2,2,796.1,16,0,Semi-Furnished,22.62,15.052058775032227
Mumbai,Premium,3,3,1535.8,2,0,Semi-Furnished,13.77,17.192975472615398
Nagpur,Mid,3,3,988.1,5,1,Semi-Furnished,19.09,15.400782818939595
Mumbai,Premium,4,5,1745.8,17,1,Semi-Furnished,6.5,17.35836183026867
Hyderabad,Premium,2,3,954.4,5,1,Semi-Furnished,8.21,16.105091157896286
Mumbai,Mid,2,1,941.2,18,0,Unfurnished,14.82,16.375543155640454
Pune,Mid,4,4,1907.8,16,0,Unfurnished,10.89,16.629115435873814
Mumbai,Premium,4,4,1793.2,8,1,Fully-Furnished,0.5,17.386177062146928
Bangalore,Mid,1,1,547.9,17,0,Semi-Furnished,21.21,15.287064074329518
Bangalore,Budget,3,3,1214.0,14,1,Semi-Furnished,21.94,16.071201193800377
Mumbai,Premium,2,3,913.6,7,1,Unfurnished,12.09,16.641389956620355
Mumbai,Budget,1,1,704.9,5,0,Unfurnished,14.93,15.905568050507279
Bangalore,Mid,1,1,450.8,5,1,Semi-Furnished,9.73,15.251906603786813
Pune,Mid,3,4,1155.1,2,1,Semi-Furnished,20.01,16.182665609101743
Pune,Mid,3,3,1344.6,15,0,Fully-Furnished,5.62,16.202103012073636
Mumbai,Budget,3,4,1299.9,7,0,Unfurnished,23.99,16.50578727566465
Pune,Budget,2,2,1044.6,11,1,Fully-Furnished,16.86,15.817099471162082
Bangalore,Mid,3,2,1452.7,19,0,Unfurnished,7.49,16.442817695089605
Bangalore,Budget,3,3,1310.1,9,0,Semi-Furnished,24.56,16.11749687172581
Pune,Mid,3,3,1301.3,2,1,Unfurnished,14.6,16.161118262344143
Hyderabad,Budget,2,3,966.5,4,1,Semi-Furnished,28.06,15.274793264689938
Hyderabad,Mid,3,3,1169.2,8,1,Fully-Furnished,8.47,16.057456822790975
Pune,Budget,1,1,483.1,18,0,Unfurnished,15.22,14.445382419211173
Hyderabad,Mid,2,3,1014.5,8,0,Semi-Furnished,14.34,15.69184552316455
Bangalore,Budget,2,2,839.1,12,0,Semi-Furnished,17.18,15.440564306085957
Mumbai,Mid,2,1,1134.9,1,1,Unfurnished,11.24,16.652004866705752
Hyderabad,Mid,2,2,881.5,11,1,Semi-Furnished,8.36,15.765212651359874
Hyderabad,Premium,2,3,937.8,0,1,Fully-Furnished,9.85,16.150534863937764
Bangalore,Mid,2,2,929.3,13,1,Unfurnished,8.94,16.024493072372813
Pune,Mid,4,4,1511.3,4,1,Unfurnished,22.77,16.378658139355593
Hyderabad,Mid,1,2,624.9,15,0,Unfurnished,0.5,15.281696153747783
Pune,Budget,2,3,779.3,14,0,Unfurnished,22.09,15.342637375211476
Mumbai,Mid,2,2,799.0,12,1,Unfurnished,19.02,16.164102325765445
Nagpur,Mid,2,1,996.2,3,1,Unfurnished,27.12,15.310696767241428
Mumbai,Mid,2,1,918.6,2,0,Unfurnished,20.76,16.316025758072918
Mumbai,Mid,2,3,1010.8,10,0,Unfurnished,10.42,16.498927776364884
Bangalore,Mid,3,3,1196.2,2,1,Fully-Furnished,15.0,16.161962381561754
Pune,Budget,2,2,757.2,14,0,Semi-Furnished,10.52,15.424731246807038
Mumbai,Mid,2,3,961.9,9,1,Semi-Furnished,15.0,16.440668088548573
Pune,Mid,2,2,1051.8,4,0,Semi-Furnished,25.48,15.890067564702711
Pune,Mid,2,3,901.6,13,1,Semi-Furnished,9.5,15.979179041188855
Mumbai,Premium,4,4,1896.6,5,1,Fully-Furnished,0.5,17.48094120002215
Bangalore,Budget,1,1,500.1,4,1,Unfurnished,13.19,14.999334020895644
Nagpur,Mid,2,1,742.7,18,1,Unfurnished,14.14,15.040318691460321
Mumbai,Premium,2,3,942.1,6,1,Semi-Furnished,4.41,16.703834720968093
Pune,Premium,2,2,857.2,0,1,Semi-Furnished,13.79,16.076338636109433
Mumbai,Mid,4,4,1745.7,18,0,Semi-Furnished,14.1,17.144444798059162
Mumbai,Budget,2,2,1095.6,16,0,Semi-Furnished,13.44,16.455739344013576
Hyderabad,Mid,3,2,1292.2,8,1,Unfurnished,19.38,16.005977464701626
Nagpur,Mid,1,1,514.1,4,0,Unfurnished,13.24,14.52651386477267
Hyderabad,Mid,3,3,1647.5,7,1,Semi-Furnished,13.37,16.30597133830683
Hyderabad,Budget,2,1,924.6,1,0,Semi-Furnished,19.43,15.446388775575638
Pune,Budget,3,4,1347.3,7,1,Fully-Furnished,21.56,15.957309454704989
Pune,Premium,1,1,574.7,2,1,Semi-Furnished,21.63,15.6137928737646
Mumbai,Budget,1,1,519.2,11,0,Unfurnished,5.98,15.71701222922624
Pune,Mid,3,3,1350.7,15,1,Semi-Furnished,16.74,16.246584727446702
Mumbai,Budget,1,2,592.4,0,1,Fully-Furnished,23.55,15.670828693428843
Mumbai,Mid,1,1,563.7,2,1,Fully-Furnished,6.87,15.961015317216104
Bangalore,Mid,2,2,892.1,20,1,Unfurnished,16.04,15.767205230074643
Nagpur,Mid,2,3,834.2,15,1,Unfurnished,20.37,15.14081741893535
Hyderabad,Mid,1,1,631.1,6,1,Semi-Furnished,8.62,15.324363865235775
Pune,Budget,2,2,781.9,9,0,Unfurnished,24.5,15.091765976634422
Bangalore,Mid,3,3,1424.7,9,1,Unfurnished,25.26,16.25818414870412
Hyderabad,Budget,3,3,1417.3,19,1,Unfurnished,18.1,15.953619749014944
Bangalore,Mid,4,5,1913.9,3,1,Fully-Furnished,8.14,16.864183228686972
Mumbai,Mid,3,3,1065.4,7,1,Semi-Furnished,17.59,16.534016110889944
Bangalore,Mid,3,4,1216.5,11,0,Fully-Furnished,7.7,16.302464277740732
Nagpur,Budget,2,2,831.6,10,1,Unfurnished,21.04,14.773252206545658
Bangalore,Budget,3,2,1499.1,8,1,Fully-Furnished,16.6,16.275977134104593
Hyderabad,Mid,1,1,592.4,4,0,Unfurnished,10.24,15.153321882746152
Bangalore,Premium,5,5,1999.4,7,1,Unfurnished,16.82,16.94786288680957
Mumbai,Budget,2,2,956.0,11,0,Semi-Furnished,16.59,16.27255419767542
Pune,Mid,3,3,1254.0,4,0,Semi-Furnished,13.21,16.2595967757308
Mumbai,Mid,2,2,666.5,10,1,Semi-Furnished,16.89,16.15134965635449
Mumbai,Mid,2,3,895.9,4,0,Semi-Furnished,17.04,16.49188259589865
Bangalore,Mid,1,2,637.6,2,0,Unfurnished,21.83,15.297602025774895
Hyderabad,Premium,2,4,859.9,6,1,Fully-Furnished,12.49,15.898127552552669
Pune,Budget,1,1,521.6,9,0,Fully-Furnished,16.79,14.8971869064595
Mumbai,Premium,3,4,1336.7,1,1,Unfurnished,5.55,16.996113054368568
Nagpur,Mid,3,3,1236.6,14,0,Fully-Furnished,14.78,15.704176961807928
Mumbai,Mid,3,4,1080.3,16,1,Unfurnished,22.84,16.580905026005045
Hyderabad,Mid,3,4,1336.0,3,0,Unfurnished,11.25,16.11175056339848
Pune,Premium,4,4,1620.6,4,1,Semi-Furnished,12.46,16.613147561244222
Bangalore,Mid,1,2,440.2,3,1,Unfurnished,4.29,15.238330416866932
Bangalore,Mid,3,3,1394.8,9,0,Semi-Furnished,11.44,16.47798707646958
Nagpur,Budget,3,3,1258.6,1,0,Fully-Furnished,20.19,15.53614685250566
Mumbai,Budget,1,1,397.5,7,0,Semi-Furnished,15.68,15.21825634915098
Hyderabad,Budget,1,1,625.6,9,0,Semi-Furnished,17.34,14.807171065583065
Pune,Mid,3,3,1074.9,5,0,Unfurnished,12.44,16.07319399174462
Bangalore,Budget,2,3,872.0,5,1,Fully-Furnished,14.7,15.649297854404036
Bangalore,Budget,3,3,1251.0,11,0,Unfurnished,23.41,16.073573172250796
Pune,Premium,3,3,1127.2,13,1,Fully-Furnished,11.74,16.407865467554867
